Student_ID,Name,Subject1,Subject2,Subject3,Subject4,Subject5
S038,Student_038,SUB02,SUB10,SUB08,SUB03,SUB06
S039,Student_039,SUB10,SUB01,SUB03,SUB09,SUB12
S040,Student_040,SUB11,SUB03,SUB05,SUB08,SUB06
S041,Student_041,SUB03,SUB09,SUB07,SUB10,SUB06
S042,Student_042,SUB10,SUB01,SUB05,SUB02,SUB07
S043,Student_043,SUB10,SUB03,SUB06,SUB02,SUB09
S044,Student_044,SUB09,SUB01,SUB02,SUB11,SUB06
S045,Student_045,SUB03,SUB08,SUB09,SUB11,SUB06
S046,Student_046,SUB12,SUB04,SUB08,SUB06,SUB07
S047,Student_047,SUB08,SUB05,SUB11,SUB10,SUB03
S048,Student_048,SUB10,SUB03,SUB09,SUB01,SUB11
S049,Student_049,SUB06,SUB03,SUB01,SUB12,SUB10
S050,Student_050,SUB08,SUB07,SUB12,SUB04,SUB03
S051,Student_051,SUB07,SUB12,SUB02,SUB04,SUB05
S052,Student_052,SUB09,SUB01,SUB04,SUB07,SUB11
S053,Student_053,SUB12,SUB04,SUB11,SUB02,SUB07
S054,Student_054,SUB01,SUB02,SUB08,SUB03,SUB09
S055,Student_055,SUB04,SUB05,SUB03,SUB02,SUB06
S056,Student_056,SUB11,SUB12,SUB03,SUB05,SUB10
S057,Student_057,SUB09,SUB06,SUB11,SUB08,SUB01
S058,Student_058,SUB04,SUB10,SUB06,SUB01,SUB05
S059,Student_059,SUB10,SUB05,SUB02,SUB04,SUB12
S060,Student_060,SUB03,SUB11,SUB05,SUB07,SUB09
S061,Student_061,SUB09,SUB04,SUB07,SUB10,SUB08
S062,Student_062,SUB09,SUB06,SUB05,SUB01,SUB12
S063,Student_063,SUB03,SUB12,SUB04,SUB08,SUB02
S064,Student_064,SUB10,SUB09,SUB12,SUB11,SUB01
S065,Student_065,SUB08,SUB11,SUB07,SUB02,SUB10
S066,Student_066,SUB09,SUB07,SUB12,SUB04,SUB05
S067,Student_067,SUB10,SUB11,SUB05,SUB12,SUB04
S068,Student_068,SUB05,SUB11,SUB03,SUB10,SUB08
S069,Student_069,SUB04,SUB11,SUB01,SUB05,SUB12
S070,Student_070,SUB03,SUB04,SUB09,SUB08,SUB02
S071,Student_071,SUB06,SUB04,SUB03,SUB09,SUB02
S072,Student_072,SUB01,SUB07,SUB08,SUB06,SUB10
S073,Student_073,SUB03,SUB05,SUB09,SUB01,SUB02
S074,Student_074,SUB03,SUB05,SUB09,SUB08,SUB06
S075,Student_075,SUB01,SUB10,SUB12,SUB05,SUB03
S076,Student_076,SUB12,SUB02,SUB11,SUB01,SUB07
S077,Student_077,SUB11,SUB03,SUB10,SUB07,SUB12
S078,Student_078,SUB03,SUB05,SUB01,SUB10,SUB12
S079,Student_079,SUB11,SUB01,SUB07,SUB09,SUB06
S080,Student_080,SUB03,SUB09,SUB12,SUB05,SUB07
S081,Student_081,SUB10,SUB05,SUB07,SUB12,SUB03
S082,Student_082,SUB06,SUB02,SUB08,SUB09,SUB10
S083,Student_083,SUB04,SUB07,SUB03,SUB11,SUB01
S084,Student_084,SUB08,SUB04,SUB03,SUB09,SUB06
S085,Student_085,SUB06,SUB02,SUB08,SUB12,SUB09
S086,Student_086,SUB05,SUB01,SUB03,SUB11,SUB02
S087,Student_087,SUB04,SUB02,SUB07,SUB03,SUB10
S088,Student_088,SUB06,SUB08,SUB07,SUB05,SUB10
S089,Student_089,SUB06,SUB01,SUB04,SUB12,SUB08
S090,Student_090,SUB07,SUB11,SUB05,SUB12,SUB10
S091,Student_091,SUB09,SUB11,SUB03,SUB12,SUB07
S092,Student_092,SUB09,SUB11,SUB01,SUB05,SUB07
S093,Student_093,SUB01,SUB10,SUB06,SUB03,SUB11
S094,Student_094,SUB06,SUB04,SUB01,SUB11,SUB08
S095,Student_095,SUB07,SUB02,SUB04,SUB09,SUB06
S096,Student_096,SUB11,SUB04,SUB10,SUB09,SUB05
S097,Student_097,SUB01,SUB11,SUB03,SUB12,SUB05
S098,Student_098,SUB06,SUB11,SUB02,SUB01,SUB05
S099,Student_099,SUB11,SUB02,SUB01,SUB10,SUB07
S100,Student_100,SUB06,SUB10,SUB11,SUB05,SUB04
S101,Student_101,SUB02,SUB12,SUB06,SUB01,SUB10
S102,Student_102,SUB02,SUB05,SUB06,SUB01,SUB07
S103,Student_103,SUB12,SUB09,SUB07,SUB01,SUB06
S104,Student_104,SUB01,SUB03,SUB08,SUB05,SUB07
S105,Student_105,SUB08,SUB02,SUB03,SUB04,SUB11
S106,Student_106,SUB06,SUB05,SUB02,SUB08,SUB03
S107,Student_107,SUB03,SUB06,SUB12,SUB05,SUB02
S108,Student_108,SUB12,SUB08,SUB09,SUB11,SUB01
S109,Student_109,SUB10,SUB07,SUB04,SUB05,SUB08
S110,Student_110,SUB03,SUB06,SUB09,SUB12,SUB08
S111,Student_111,SUB06,SUB09,SUB01,SUB11,SUB07
S112,Student_112,SUB03,SUB12,SUB07,SUB11,SUB09
S113,Student_113,SUB12,SUB05,SUB06,SUB09,SUB11
S114,Student_114,SUB08,SUB11,SUB06,SUB01,SUB07
S115,Student_115,SUB10,SUB03,SUB04,SUB11,SUB01
S116,Student_116,SUB05,SUB08,SUB06,SUB02,SUB04
S117,Student_117,SUB04,SUB08,SUB05,SUB01,SUB03
S118,Student_118,SUB01,SUB05,SUB10,SUB12,SUB02
S119,Student_119,SUB01,SUB07,SUB10,SUB02,SUB04
S120,Student_120,SUB01,SUB11,SUB07,SUB02,SUB06
S121,Student_121,SUB11,SUB12,SUB08,SUB01,SUB10
S122,Student_122,SUB08,SUB06,SUB11,SUB04,SUB01
S123,Student_123,SUB12,SUB10,SUB09,SUB01,SUB05
S124,Student_124,SUB08,SUB09,SUB07,SUB11,SUB06
S125,Student_125,SUB11,SUB02,SUB10,SUB09,SUB07
S126,Student_126,SUB11,SUB12,SUB09,SUB03,SUB08
S127,Student_127,SUB02,SUB01,SUB08,SUB11,SUB12
S128,Student_128,SUB08,SUB07,SUB04,SUB03,SUB12
S129,Student_129,SUB06,SUB07,SUB05,SUB08,SUB02
S130,Student_130,SUB06,SUB02,SUB07,SUB03,SUB11
S131,Student_131,SUB02,SUB12,SUB06,SUB07,SUB01
S132,Student_132,SUB10,SUB02,SUB06,SUB04,SUB07
S133,Student_133,SUB12,SUB01,SUB02,SUB07,SUB09
S134,Student_134,SUB07,SUB11,SUB03,SUB05,SUB08
S135,Student_135,SUB04,SUB03,SUB09,SUB02,SUB12
S136,Student_136,SUB10,SUB11,SUB08,SUB06,SUB05
S137,Student_137,SUB11,SUB08,SUB03,SUB06,SUB01
S138,Student_138,SUB07,SUB09,SUB10,SUB08,SUB12
S139,Student_139,SUB11,SUB06,SUB02,SUB01,SUB05
S140,Student_140,SUB06,SUB08,SUB11,SUB01,SUB05
S141,Student_141,SUB03,SUB08,SUB11,SUB06,SUB05
S142,Student_142,SUB09,SUB07,SUB05,SUB08,SUB02
S143,Student_143,SUB09,SUB07,SUB05,SUB08,SUB10
S144,Student_144,SUB09,SUB12,SUB07,SUB02,SUB11
S145,Student_145,SUB08,SUB12,SUB01,SUB07,SUB04
S146,Student_146,SUB11,SUB05,SUB10,SUB09,SUB04
S147,Student_147,SUB03,SUB06,SUB10,SUB11,SUB05
S148,Student_148,SUB11,SUB01,SUB10,SUB06,SUB02
S149,Student_149,SUB04,SUB12,SUB02,SUB06,SUB03
S150,Student_150,SUB07,SUB08,SUB01,SUB12,SUB02
